BALKRISHNA INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 19.33 , 19.33 , 19.33 , 19.33 , 19.33 , 19.33 , 19.33 , 19.33 , 19.33 , 38.66 
Reserves, 448.50 , 641.44 , 812.44 ," 1,060.76 "," 1,399.64 "," 1,865.47 "," 2,272.34 "," 2,762.33 "," 3,531.90 "," 4,056.57 "
Borrowings, 472.81 , 464.33 , 607.03 ," 1,673.18 "," 2,074.43 "," 2,350.01 "," 2,357.84 "," 1,880.16 "," 1,361.15 ", 835.45 
Other Liabilities, 333.02 , 448.00 , 660.57 , 364.31 , 498.46 , 642.65 , 669.96 , 747.87 , 851.34 , 920.58 
Total," 1,273.66 "," 1,573.10 "," 2,099.37 "," 3,117.58 "," 3,991.86 "," 4,877.46 "," 5,319.47 "," 5,409.69 "," 5,763.72 "," 5,851.26 "
,,,,,,,,,,
Net Block, 534.55 , 614.88 , 687.44 , 828.15 ," 1,277.71 "," 2,329.44 "," 2,414.76 "," 2,858.22 "," 2,848.59 "," 2,849.04 "
Capital Work in Progress, 74.72 , 58.87 , 44.05 , 449.87 , 945.51 , 476.34 , 634.04 , 231.07 , 109.67 , 118.28 
Investments, 32.23 , 80.73 , 32.24 , 32.24 , 32.91 , 426.51 , 444.86 , 866.07 ," 1,349.74 "," 1,103.23 "
Other Assets, 632.16 , 818.62 ," 1,335.64 "," 1,807.32 "," 1,735.73 "," 1,645.17 "," 1,825.81 "," 1,454.33 "," 1,455.72 "," 1,780.71 "
Total," 1,273.66 "," 1,573.10 "," 2,099.37 "," 3,117.58 "," 3,991.86 "," 4,877.46 "," 5,319.47 "," 5,409.69 "," 5,763.72 "," 5,851.26 "
,,,,,,,,,,
Working Capital, 299.14 , 370.62 , 675.07 ," 1,443.01 "," 1,237.27 "," 1,002.52 "," 1,155.85 ", 706.46 , 604.38 , 860.13 
Debtors, 219.08 , 240.30 , 324.24 , 479.61 , 504.49 , 618.47 , 603.29 , 380.34 , 412.19 , 501.93 
Inventory, 122.26 , 203.05 , 410.38 , 481.07 , 432.55 , 529.08 , 392.01 , 387.71 , 459.69 , 594.19 
,,,,,,,,,,
Debtor Days, 65.60 , 64.91 , 61.20 , 62.09 , 57.74 , 63.14 , 58.31 , 43.12 , 40.36 , 41.19 
Inventory Turnover, 9.97 , 6.65 , 4.71 , 5.86 , 7.37 , 6.76 , 9.63 , 8.30 , 8.11 , 7.48 
,,,,,,,,,,
Return on Equity,15%,32%,22%,25%,25%,26%,21%,16%,20%,18%
Return on Capital Emp,,32%,23%,20%,18%,19%,17%,15%,23%,23%
,,,,,,,,,,
