KHADIM INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-12,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 12.14 , 17.30 , 17.30 , 17.30 , 17.97 
Reserves, -   , -   , -   , -   , -   , 84.02 , 111.86 , 137.10 , 166.66 , 250.52 
Borrowings, -   , -   , -   , -   , -   , 162.89 , 133.07 , 114.37 , 109.12 , 68.48 
Other Liabilities, -   , -   , -   , -   , -   , 90.64 , 83.37 , 84.75 , 118.07 , 156.04 
Total, -   , -   , -   , -   , -   , 349.69 , 345.60 , 353.52 , 411.15 , 493.01 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , 122.59 , 148.88 , 143.50 , 120.84 , 125.85 
Capital Work in Progress, -   , -   , -   , -   , -   , 22.77 , 2.12 , 0.86 , 3.15 , 1.46 
Investments, -   , -   , -   , -   , -   , 3.05 , 0.05 , 1.10 , -   , -   
Other Assets, -   , -   , -   , -   , -   , 201.28 , 194.55 , 208.06 , 287.16 , 365.70 
Total, -   , -   , -   , -   , -   , 349.69 , 345.60 , 353.52 , 411.15 , 493.01 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 110.64 , 111.18 , 123.31 , 169.09 , 209.66 
Debtors, -   , -   , -   , -   , -   , 15.71 , 24.09 , 34.86 , 77.17 , 126.73 
Inventory, -   , -   , -   , -   , -   , 114.90 , 113.78 , 100.90 , 114.46 , 126.69 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 15.96 , 19.11 , 23.80 , 46.13 , 61.78 
Inventory Turnover, -   , -   , -   , -   , -   , 3.13 , 4.04 , 5.30 , 5.33 , 5.91 
,,,,,,,,,,
Return on Equity,,,,,,11%,-14%,16%,17%,14%
Return on Capital Emp,,,,,,26%,0%,15%,20%,23%
,,,,,,,,,,
