MANGALAM CEMENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 136.34 , 128.24 , (2.71), 86.76 , 106.31 , 62.97 , 48.34 , 74.53 , 163.39 , 85.89 
Cash from Investing Activity, (42.24), (67.77), (38.07), (40.14), (241.50), (225.52), (50.22), (61.82), (90.57), (17.25)
Cash from Financing Activity, (64.53), (34.48), (17.39), (21.59), 187.12 , 116.45 , (18.37), (12.79), (77.34), (66.63)
Net Cash Flow, 29.57 , 25.99 , (58.17), 25.03 , 51.93 , (46.10), (20.26), (0.08), (4.52), 2.01 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
